    X[m]        Y[m]      ZGround[m]       GroundZ0[m]       Height[m]    Wspd_2D[m/s]  Wspd_3D[m/s]  Direction[º]   Turb.Intensity  
 168           204 
6.582773e+05  7.177011e+06  8.982629e+02  1.000000e-04  1.000000e+01  4.990306e+00  5.011641e+00  7.89e+01  6.905884e-02
6.582773e+05  7.177211e+06  8.970598e+02  1.000000e-04  1.000000e+01  5.175314e+00  5.202622e+00  7.78e+01  7.009573e-02
6.582773e+05  7.177411e+06  9.105176e+02  1.000000e-04  1.000000e+01  5.325138e+00  5.351045e+00  8.36e+01  7.979085e-02
6.582773e+05  7.177611e+06  9.065641e+02  5.064737e-03  1.000000e+01  5.293409e+00  5.300869e+00  8.54e+01  9.146874e-02
6.582773e+05  7.177811e+06  9.296124e+02  1.000000e-04  1.000000e+01  5.494767e+00  5.542360e+00  8.13e+01  6.255771e-02
6.582773e+05  7.178011e+06  9.272169e+02  1.586167e-02  1.000000e+01  5.170819e+00  5.201733e+00  8.05e+01  8.949688e-02
6.582773e+05  7.178211e+06  9.237581e+02  7.607151e-04  1.000000e+01  5.147123e+00  5.188764e+00  8.12e+01  9.101709e-02
6.582773e+05  7.178411e+06  9.420422e+02  1.000000e-04  1.000000e+01  5.801132e+00  5.858753e+00  8.07e+01  5.960650e-02
6.582773e+05  7.178611e+06  9.714366e+02  1.000000e-04  1.000000e+01  5.973024e+00  6.020337e+00  7.89e+01  5.971646e-02
6.582773e+05  7.178811e+06  9.559870e+02  1.000000e-04  1.000000e+01  5.763238e+00  5.790184e+00  7.92e+01  8.706097e-02
6.582773e+05  7.179011e+06  9.555830e+02  1.000000e-04  1.000000e+01  5.890562e+00  5.896319e+00  8.02e+01  6.144897e-02
6.582773e+05  7.179211e+06  9.793395e+02  1.000000e-04  1.000000e+01  5.997485e+00  6.003350e+00  8.29e+01  6.086835e-02
6.582773e+05  7.179411e+06  9.761754e+02  1.000000e-04  1.000000e+01  5.652681e+00  5.673657e+00  8.25e+01  6.524739e-02
6.582773e+05  7.179611e+06  9.473756e+02  1.423360e-02  1.000000e+01  5.410969e+00  5.424255e+00  8.00e+01  8.490314e-02
6.582773e+05  7.179811e+06  9.620027e+02  1.000000e-04  1.000000e+01  5.814831e+00  5.815588e+00  7.75e+01  5.994814e-02
6.582773e+05  7.180011e+06  9.736155e+02  1.000000e-04  1.000000e+01  6.006975e+00  6.008271e+00  7.85e+01  5.969611e-02
6.582773e+05  7.180211e+06  9.605567e+02  1.000000e-04  1.000000e+01  5.629000e+00  5.649899e+00  7.99e+01  6.371082e-02
6.582773e+05  7.180411e+06  9.431272e+02  1.047486e-02  1.000000e+01  5.054317e+00  5.073257e+00  8.26e+01  8.984283e-02
6.582773e+05  7.180611e+06  9.295642e+02  1.000000e-04  1.000000e+01  5.034266e+00  5.036341e+00  8.45e+01  6.840758e-02
6.582773e+05  7.180811e+06  9.255000e+02  1.360353e-04  1.000000e+01  4.910732e+00  4.913773e+00  8.49e+01  7.266616e-02
6.582773e+05  7.181011e+06  9.500922e+02  5.337211e-04  1.000000e+01  5.019706e+00  5.049829e+00  8.05e+01  8.184077e-02
6.582773e+05  7.181211e+06  9.338799e+02  1.000000e-04  1.000000e+01  5.545827e+00  5.558521e+00  7.77e+01  6.043806e-02
6.582773e+05  7.181411e+06  9.616719e+02  1.000000e-04  1.000000e+01  5.695218e+00  5.695844e+00  7.85e+01  6.104701e-02
6.582773e+05  7.181611e+06  9.724447e+02  1.000000e-04  1.000000e+01  5.716245e+00  5.716259e+00  8.15e+01  6.213652e-02
6.582773e+05  7.181811e+06  9.548416e+02  8.786466e-03  1.000000e+01  5.351704e+00  5.359273e+00  8.28e+01  8.268620e-02
6.582773e+05  7.182011e+06  9.510345e+02  2.417616e-02  1.000000e+01  4.727586e+00  4.737676e+00  8.07e+01  1.093795e-01
6.582773e+05  7.182211e+06  9.288176e+02  2.968518e-03  1.000000e+01  4.733940e+00  4.737199e+00  7.98e+01  9.627653e-02
6.582773e+05  7.182411e+06  9.510881e+02  1.000000e-04  1.000000e+01  5.275672e+00  5.275736e+00  8.01e+01  6.531726e-02
6.582773e+05  7.182611e+06  9.604898e+02  1.298641e-04  1.000000e+01  5.351102e+00  5.351286e+00  8.14e+01  7.590246e-02
6.582773e+05  7.182811e+06  9.626832e+02  3.604757e-02  1.000000e+01  4.996953e+00  4.997041e+00  8.20e+01  1.027592e-01
6.582773e+05  7.183011e+06  9.512734e+02  5.639230e-02  1.000000e+01  4.891785e+00  4.893086e+00  8.24e+01  1.113439e-01
6.582773e+05  7.183211e+06  9.646956e+02  4.825712e-02  1.000000e+01  5.022941e+00  5.026700e+00  8.24e+01  1.098743e-01
6.582773e+05  7.183411e+06  9.631243e+02  1.000000e-04  1.000000e+01  5.294662e+00  5.306032e+00  8.07e+01  6.261715e-02
6.582773e+05  7.183611e+06  9.594622e+02  1.000000e-04  1.000000e+01  5.321864e+00  5.323965e+00  8.04e+01  6.280769e-02
6.582773e+05  7.183811e+06  9.390506e+02  1.000000e-04  1.000000e+01  5.207254e+00  5.210566e+00  8.20e+01  6.295718e-02
6.582773e+05  7.184011e+06  9.441954e+02  1.000000e-04  1.000000e+01  5.244898e+00  5.260087e+00  8.15e+01  6.193428e-02
6.582773e+05  7.184211e+06  9.490493e+02  1.000000e-04  1.000000e+01  5.244253e+00  5.251588e+00  7.88e+01  6.249518e-02
6.582773e+05  7.184411e+06  9.490790e+02  1.000000e-04  1.000000e+01  5.270094e+00  5.270652e+00  7.72e+01  7.103640e-02
6.582773e+05  7.184611e+06  9.446152e+02  1.000000e-04  1.000000e+01  5.295996e+00  5.302707e+00  7.93e+01  6.302880e-02
6.582773e+05  7.184811e+06  9.353353e+02  5.718134e-02  1.000000e+01  4.849717e+00  4.850009e+00  8.20e+01  1.007692e-01
